ID;X.15N_E;X.15N_M;X.15N_I;YEAR;Month;AGE_CLASS;relative;d1_E;d1_M;d1_I;d0;c;t3;t2;t1;d41;sampling date;birth_date;julian_date;method;sampled
P3;16.6;16.3;15.8;2018;2;c;F3;16.3;;;17.8;7.591417142;17.25615608;21.92979584;30.08914697;15.17595796;17.02.2018;30.01.2018;29.74384392;1.5;sampled_mc
P2;13.8;13.4;13.3;2018;2;c;F2;13.4;;;14.9;4.691417142;15.73280197;21.92979584;23.52352578;12.27595796;17.02.2018;01.02.2018;31.26719803;1.5;sampled_mc
P4;15.7;15.2;15;2018;2;c;F4;15;;;16.5;6.291417142;11.26111433;18.79651495;21.92979584;13.87595796;24.02.2018;12.02.2018;42.73888567;1.5;sampled_mc
P8;16;15.8;14.9;2018;2;c;F8;16.4;;;17.9;7.691417142;28.41822374;31.78055126;48.01551629;15.27595796;27.02.2018;29.01.2018;28.58177626;1.5;sampled_mc
P9;16.1;15.8;15.7;2018;2;c;F9;16.4;;;17.9;7.691417142;26.7672915;31.78055126;33.49294494;15.27595796;27.02.2018;31.01.2018;30.2327085;1.5;sampled_mc
P1;16;16;15.8;2018;2;c;FP1;16.3;;;17.8;7.591417142;26.7672915;26.7672915;30.08914697;15.17595796;10.02.2018;14.01.2018;13.2327085;1.5;pred_calves
P7;14.3;14.3;14.1;2018;2;c;FP7;14.3;;;15.8;5.591417142;21.92979584;21.92979584;25.13587756;13.17595796;27.02.2018;05.02.2018;35.07020416;1.5;pred_calves
P6;15.9;15.9;14.5;2018;2;c;FP6;16.2;;;17.7;7.491417142;26.7672915;26.7672915;51.89820288;15.07595796;24.02.2018;28.01.2018;27.2327085;1.5;pred_calves
P5;14.8;14.8;14.3;2018;2;c;FP5;14.9;;;16.4;6.191417142;23.52352578;23.52352578;31.78055126;13.77595796;24.02.2018;31.01.2018;30.47647422;1.5;pred_calves
C3;12.7;12.2;12.1;2011;2;c;FC3;11.8;;;13.3;3.091417142;8.358516057;15.73280197;17.25615608;10.67595796;21.02.2011;12.02.2011;42.64148394;1.5;pred_calves
C5;13;12.6;12.1;2011;2;c;FC5;12.2;;;13.7;3.491417142;9.802183531;15.73280197;23.52352578;11.07595796;23.02.2011;13.02.2011;43.19781647;1.5;pred_calves
C1;13.1;12.8;12.5;2011;2;c;FC1;12.5;;;14;3.791417142;12.73563465;17.25615608;21.92979584;11.37595796;21.02.2011;08.02.2011;38.26436535;1.5;pred_calves
C2;12.7;12.4;11.9;2011;2;c;FC2;12;;;13.5;3.291417142;11.26111433;15.73280197;23.52352578;10.87595796;21.02.2011;09.02.2011;39.73888567;1.5;pred_calves
C4;13.3;13.1;12.7;2011;2;c;FC4;12.8;;;14.3;4.091417142;14.22608126;17.25615608;23.52352578;11.67595796;23.02.2011;08.02.2011;38.77391874;1.5;pred_calves
C5C;12.3;11.7;11.5;2011;2;c;M5;11.2;;;12.7;2.491417142;5.515716538;14.22608126;17.25615608;10.07595796;23.02.2011;17.02.2011;47.48428346;1.5;pred_calves
C2C;12.6;12.1;11.8;2011;2;c;M2;11.6;;;13.1;2.891417142;6.929795842;14.22608126;18.79651495;10.47595796;21.02.2011;14.02.2011;44.07020416;1.5;pred_calves
C3C;12.7;12.2;11.9;2011;2;c;M3;11.8;;;13.3;3.091417142;8.358516057;15.73280197;20.35426251;10.67595796;21.02.2011;12.02.2011;42.64148394;1.5;pred_calves
C6C;13;12.6;12.3;2011;2;c;M6;12.3;;;13.8;3.591417142;11.26111433;17.25615608;21.92979584;11.17595796;23.02.2011;11.02.2011;41.73888567;1.5;pred_calves
C1C;12.6;12.1;11.9;2011;2;c;M1;11.7;;;13.2;2.991417142;8.358516057;15.73280197;18.79651495;10.57595796;21.02.2011;12.02.2011;42.64148394;1.5;pred_calves
C4C;12.5;12;11.7;2011;2;c;M4;11.5;;;13;2.791417142;6.929795842;14.22608126;18.79651495;10.37595796;23.02.2011;16.02.2011;46.07020416;1.5;pred_calves
